scatter energy,scatter locations,absorption energies,absorption locations
0.363982,"[-13.4, 0.0, 80.6]",0.222708,"[13.4, 0.0, 80.6]"
0.39245,"[0.0, -13.4, 80.6]",0.294363,"[-13.4, 0.0, 80.6]"
0.416812,"[-13.4, 0.0, 80.6]",0.294987,"[13.4, 0.0, 80.6]"
0.38625,"[-13.4, 0.0, 80.6]",0.313503,"[13.4, 0.0, 80.6]"
0.357612,"[-13.4, 0.0, 80.6]",0.317237,"[0.0, 13.4, 80.6]"
0.362349,"[-13.4, 0.0, 80.6]",0.361842,"[0.0, 13.4, 80.6]"
0.067351,"[3.4, -5.0, 40.8]",0.19111,"[0.0, -13.4, 80.6]"
0.411325,"[-13.4, 0.0, 80.6]",0.283754,"[0.0, -13.4, 80.6]"
0.346073,"[13.4, 0.0, 80.6]",0.292664,"[0.0, 13.4, 80.6]"
0.396493,"[-13.4, 0.0, 80.6]",0.313056,"[0.0, -13.4, 80.6]"
0.373656,"[0.0, -13.4, 80.6]",0.276058,"[13.4, 0.0, 80.6]"
0.394162,"[0.0, -13.4, 80.6]",0.24155,"[13.4, 0.0, 80.6]"
0.328516,"[13.4, 0.0, 80.6]",0.285846,"[0.0, 13.4, 80.6]"
0.201038,"[3.4, -5.0, 40.8]",0.170108,"[0.0, 13.4, 80.6]"
0.399262,"[13.4, 0.0, 80.6]",0.308363,"[0.0, -13.4, 80.6]"
0.433681,"[0.0, -13.4, 80.6]",0.207478,"[13.4, 0.0, 80.6]"
0.419338,"[3.4, -5.0, 40.8]",0.0843588,"[10.6, 2.7, 39.2]"
0.334133,"[0.0, -13.4, 80.6]",0.384551,"[13.4, 0.0, 80.6]"
0.0669884,"[10.6, 2.7, 39.2]",0.369445,"[0.0, 13.4, 80.6]"
0.358165,"[0.0, -13.4, 80.6]",0.139605,"[-13.4, 0.0, 80.6]"
0.410874,"[-13.4, 0.0, 80.6]",0.227033,"[0.0, 13.4, 80.6]"
0.402961,"[0.0, 13.4, 80.6]",0.273572,"[13.4, 0.0, 80.6]"
0.376521,"[0.0, 13.4, 80.6]",0.236682,"[13.4, 0.0, 80.6]"
0.418074,"[3.4, -5.0, 40.8]",0.266223,"[10.6, 2.7, 39.2]"
0.385616,"[-13.4, 0.0, 80.6]",0.206035,"[0.0, 13.4, 80.6]"
0.416053,"[0.0, 13.4, 80.6]",0.298751,"[-13.4, 0.0, 80.6]"
0.39674,"[-13.4, 0.0, 80.6]",0.151702,"[0.0, 13.4, 80.6]"
0.400081,"[3.4, -5.0, 40.8]",0.28218,"[-2.3, -2.2, 41.3]"
0.36154,"[-13.4, 0.0, 80.6]",0.253014,"[13.4, 0.0, 80.6]"
0.337694,"[0.0, -13.4, 80.6]",0.265337,"[13.4, 0.0, 80.6]"
0.41666,"[0.0, -13.4, 80.6]",0.142807,"[13.4, 0.0, 80.6]"
0.406189,"[0.0, -13.4, 80.6]",0.279148,"[-13.4, 0.0, 80.6]"
0.387225,"[0.0, 13.4, 80.6]",0.295947,"[13.4, 0.0, 80.6]"
0.427309,"[-13.4, 0.0, 80.6]",0.219357,"[0.0, 13.4, 80.6]"
0.438761,"[0.0, -13.4, 80.6]",0.195632,"[13.4, 0.0, 80.6]"
0.33209,"[0.0, -13.4, 80.6]",0.300866,"[-13.4, 0.0, 80.6]"
0.433226,"[0.0, -13.4, 80.6]",0.280109,"[0.0, 13.4, 80.6]"
0.0933236,"[3.4, -5.0, 40.8]",0.189346,"[0.0, -13.4, 80.6]"
0.357736,"[0.0, -13.4, 80.6]",0.282472,"[13.4, 0.0, 80.6]"
0.393274,"[0.0, -13.4, 80.6]",0.309854,"[0.0, 13.4, 80.6]"
0.42106,"[13.4, 0.0, 80.6]",0.212762,"[0.0, 13.4, 80.6]"
0.403247,"[-13.4, 0.0, 80.6]",0.329045,"[0.0, -13.4, 80.6]"
0.431036,"[0.0, 13.4, 80.6]",0.211011,"[0.0, -13.4, 80.6]"
0.194824,"[10.6, 2.7, 39.2]",0.488923,"[0.0, -13.4, 80.6]"
