scatter energy,scatter locations,absorption energies,absorption locations,scatter channels,absorption channels
0.41114754098360656,"[-2.3, -2.2, 41.3]",0.24260162601626015,"[3.4, -5.0, 40.8]",1,2
0.3627536231884058,"[13.4, 0.0, 80.6]",0.2984263233190272,"[0.0, -13.4, 80.6]",6,7
0.3413447782546495,"[0.0, -13.4, 80.6]",0.3146067415730337,"[-13.4, 0.0, 80.6]",7,4
0.1709795918367347,"[-3.2, 3.5, 39.6]",0.4931884057971015,"[13.4, 0.0, 80.6]",0,6
0.37434782608695655,"[13.4, 0.0, 80.6]",0.27808988764044945,"[-13.4, 0.0, 80.6]",6,4
0.12118367346938774,"[-3.2, 3.5, 39.6]",0.5323188405797101,"[13.4, 0.0, 80.6]",0,6
0.16404081632653061,"[-3.2, 3.5, 39.6]",0.4972818311874106,"[0.0, -13.4, 80.6]",0,7
0.35405797101449277,"[13.4, 0.0, 80.6]",0.2984263233190272,"[0.0, -13.4, 80.6]",6,7
0.38655737704918036,"[-2.3, -2.2, 41.3]",0.27955102040816326,"[-3.2, 3.5, 39.6]",1,0
0.4004347826086957,"[13.4, 0.0, 80.6]",0.26123032904148785,"[0.0, -13.4, 80.6]",6,7
0.1613008130081301,"[3.4, -5.0, 40.8]",0.5057640750670241,"[0.0, 13.4, 80.6]",2,5
0.4062295081967213,"[-2.3, -2.2, 41.3]",0.2640408163265306,"[-3.2, 3.5, 39.6]",1,0
0.34269662921348315,"[-13.4, 0.0, 80.6]",0.3180965147453083,"[0.0, 13.4, 80.6]",4,5
0.12730612244897957,"[-3.2, 3.5, 39.6]",0.5294202898550725,"[13.4, 0.0, 80.6]",0,6
0.37573726541554964,"[0.0, 13.4, 80.6]",0.29353932584269665,"[-13.4, 0.0, 80.6]",5,4
0.3806179775280899,"[-13.4, 0.0, 80.6]",0.282689556509299,"[0.0, -13.4, 80.6]",4,7
0.07959016393442622,"[-2.3, -2.2, 41.3]",0.5821715817694371,"[0.0, 13.4, 80.6]",1,5
0.1383265306122449,"[-3.2, 3.5, 39.6]",0.5308695652173914,"[13.4, 0.0, 80.6]",0,6
0.09831932773109243,"[10.6, 2.7, 39.2]",0.5634048257372655,"[0.0, 13.4, 80.6]",3,5
0.05745901639344262,"[-2.3, -2.2, 41.3]",0.5982573726541555,"[0.0, 13.4, 80.6]",1,5
0.09721311475409836,"[-2.3, -2.2, 41.3]",0.5620643431635389,"[0.0, 13.4, 80.6]",1,5
0.36420289855072463,"[13.4, 0.0, 80.6]",0.29985693848354794,"[0.0, -13.4, 80.6]",6,7
0.13081300813008132,"[3.4, -5.0, 40.8]",0.5272117962466488,"[0.0, 13.4, 80.6]",2,5
0.34758713136729225,"[0.0, 13.4, 80.6]",0.31179775280898875,"[-13.4, 0.0, 80.6]",5,4
0.41780487804878047,"[3.4, -5.0, 40.8]",0.24475409836065576,"[-2.3, -2.2, 41.3]",2,1
0.0783265306122449,"[-3.2, 3.5, 39.6]",0.5781501340482574,"[0.0, 13.4, 80.6]",0,5
0.20294117647058824,"[10.6, 2.7, 39.2]",0.4508426966292135,"[-13.4, 0.0, 80.6]",3,4
0.333768115942029,"[13.4, 0.0, 80.6]",0.3207774798927614,"[0.0, 13.4, 80.6]",6,5
0.03491803278688524,"[-2.3, -2.2, 41.3]",0.6217453505007153,"[0.0, -13.4, 80.6]",1,7
0.3928469241773963,"[0.0, -13.4, 80.6]",0.26710144927536233,"[13.4, 0.0, 80.6]",7,6
0.39173913043478265,"[13.4, 0.0, 80.6]",0.2669527896995708,"[0.0, -13.4, 80.6]",6,7
0.25210084033613445,"[10.6, 2.7, 39.2]",0.41853932584269665,"[-13.4, 0.0, 80.6]",3,4
