scatter energy,scatter locations,absorption energies,absorption locations
0.19672064777327936,"[18.0, -12.0, 6.6]",0.4930555555555556,"[-11.2, -0.3, 79.2]"
0.17940928270042195,"[17.6, 13.6, 8.2]",0.4724890829694324,"[16.3, -0.4, 78.8]"
0.21352459016393444,"[-9.9, 15.8, 6.4]",0.4208450704225352,"[2.3, -14.6, 78.2]"
0.201440329218107,"[-12.1, -11.7, 4.0]",0.4011267605633803,"[2.3, -14.6, 78.2]"
0.32459016393442625,"[-9.9, 15.8, 6.4]",0.31819505094614264,"[16.3, -0.4, 78.8]"
0.100084388185654,"[17.6, 13.6, 8.2]",0.3388888888888889,"[-11.2, -0.3, 79.2]"
0.16635627530364372,"[18.0, -12.0, 6.6]",0.5791666666666667,"[-11.2, -0.3, 79.2]"
0.289917695473251,"[-12.1, -11.7, 4.0]",0.6701408450704226,"[2.3, -14.6, 78.2]"
0.12141700404858298,"[18.0, -12.0, 6.6]",0.4461971830985916,"[2.3, -14.6, 78.2]"
0.07510288065843622,"[-12.1, -11.7, 4.0]",0.6472222222222223,"[-11.2, -0.3, 79.2]"
0.02860082304526749,"[-12.1, -11.7, 4.0]",0.36732394366197185,"[2.3, -14.6, 78.2]"
0.1291093117408907,"[18.0, -12.0, 6.6]",0.503943661971831,"[2.3, -14.6, 78.2]"
0.1554251012145749,"[18.0, -12.0, 6.6]",0.49408450704225354,"[2.3, -14.6, 78.2]"
0.22827868852459016,"[-9.9, 15.8, 6.4]",0.3414847161572052,"[16.3, -0.4, 78.8]"
0.24385245901639344,"[-9.9, 15.8, 6.4]",0.5097222222222222,"[-11.2, -0.3, 79.2]"
0.14506172839506173,"[-12.1, -11.7, 4.0]",0.4934404283801874,"[2.8, 14.6, 78.9]"
0.22909836065573772,"[-9.9, 15.8, 6.4]",0.33194444444444443,"[-11.2, -0.3, 79.2]"
0.08573839662447257,"[17.6, 13.6, 8.2]",0.3307042253521127,"[2.3, -14.6, 78.2]"
0.17757201646090534,"[-12.1, -11.7, 4.0]",0.4317321688500728,"[16.3, -0.4, 78.8]"
0.16759493670886075,"[17.6, 13.6, 8.2]",0.5054886211512718,"[2.8, 14.6, 78.9]"
0.20036437246963562,"[18.0, -12.0, 6.6]",0.26666666666666666,"[-11.2, -0.3, 79.2]"
-0.020081967213114754,"[-9.9, 15.8, 6.4]",0.6687323943661972,"[2.3, -14.6, 78.2]"
0.19444444444444445,"[-12.1, -11.7, 4.0]",0.4171761280931587,"[16.3, -0.4, 78.8]"
0.14508196721311475,"[-9.9, 15.8, 6.4]",0.4583333333333333,"[-11.2, -0.3, 79.2]"
0.6659836065573771,"[-9.9, 15.8, 6.4]",0.2002677376171352,"[2.8, 14.6, 78.9]"
0.4220164609053498,"[-12.1, -11.7, 4.0]",0.620615796519411,"[2.8, 14.6, 78.9]"
0.03559670781893004,"[-12.1, -11.7, 4.0]",0.35694444444444445,"[-11.2, -0.3, 79.2]"
0.2286008230452675,"[-12.1, -11.7, 4.0]",0.3851528384279476,"[16.3, -0.4, 78.8]"
0.051781376518218625,"[18.0, -12.0, 6.6]",0.2222222222222222,"[-11.2, -0.3, 79.2]"
0.30050632911392405,"[17.6, 13.6, 8.2]",0.5496360989810771,"[16.3, -0.4, 78.8]"
0.5635222672064778,"[18.0, -12.0, 6.6]",0.5656477438136827,"[16.3, -0.4, 78.8]"
0.04408906882591093,"[18.0, -12.0, 6.6]",0.3622489959839358,"[2.8, 14.6, 78.9]"
0.1183127572016461,"[-12.1, -11.7, 4.0]",0.39444444444444443,"[-11.2, -0.3, 79.2]"
0.07222222222222222,"[-12.1, -11.7, 4.0]",0.6625,"[-11.2, -0.3, 79.2]"
0.19959016393442622,"[-9.9, 15.8, 6.4]",0.2013888888888889,"[-11.2, -0.3, 79.2]"
0.39307692307692305,"[18.0, -12.0, 6.6]",0.3342066957787482,"[16.3, -0.4, 78.8]"
0.18415637860082304,"[-12.1, -11.7, 4.0]",0.4404657933042213,"[16.3, -0.4, 78.8]"
0.02708502024291498,"[18.0, -12.0, 6.6]",0.33492957746478874,"[2.3, -14.6, 78.2]"
0.1487704918032787,"[-9.9, 15.8, 6.4]",0.48194444444444445,"[-11.2, -0.3, 79.2]"
0.15123456790123457,"[-12.1, -11.7, 4.0]",0.4880856760374833,"[2.8, 14.6, 78.9]"
0.6635802469135802,"[-12.1, -11.7, 4.0]",0.20972222222222223,"[-11.2, -0.3, 79.2]"
0.23477732793522266,"[18.0, -12.0, 6.6]",0.4476056338028169,"[2.3, -14.6, 78.2]"
0.13688524590163934,"[-9.9, 15.8, 6.4]",0.4880856760374833,"[2.8, 14.6, 78.9]"
0.10388185654008439,"[17.6, 13.6, 8.2]",0.2916666666666667,"[-11.2, -0.3, 79.2]"
0.1319672131147541,"[-9.9, 15.8, 6.4]",0.5188755020080321,"[2.8, 14.6, 78.9]"
0.1971311475409836,"[-9.9, 15.8, 6.4]",0.2745269286754003,"[16.3, -0.4, 78.8]"
0.21378600823045268,"[-12.1, -11.7, 4.0]",0.4653279785809907,"[2.8, 14.6, 78.9]"
0.19753036437246962,"[18.0, -12.0, 6.6]",0.4419718309859155,"[2.3, -14.6, 78.2]"
0.11296296296296296,"[-12.1, -11.7, 4.0]",0.5123943661971831,"[2.3, -14.6, 78.2]"
0.16999999999999998,"[18.0, -12.0, 6.6]",0.5081659973226239,"[2.8, 14.6, 78.9]"
0.16379746835443038,"[17.6, 13.6, 8.2]",0.4880856760374833,"[2.8, 14.6, 78.9]"
0.040123456790123455,"[-12.1, -11.7, 4.0]",0.29927219796215426,"[16.3, -0.4, 78.8]"
0.16878542510121455,"[18.0, -12.0, 6.6]",0.478311499272198,"[16.3, -0.4, 78.8]"
0.6671659919028341,"[18.0, -12.0, 6.6]",0.18611111111111112,"[-11.2, -0.3, 79.2]"
0.11419753086419752,"[-12.1, -11.7, 4.0]",0.5361111111111111,"[-11.2, -0.3, 79.2]"
